Name;NS
АЦСК КНЕДП-ІДД ДПС;acskidd.gov.ua
АЦСК органів юстиції України;ca.informjust.ua
АЦСК Укрзалізниці;csk.uz.gov.ua
АЦСК "MASTERKEY" ТОВ "АРТ-МАСТЕР";masterkey.ua
АЦСК ТОВ "КС";ca.ksystems.com.ua
АЦСК ДП "УСС";csk.uss.gov.ua
АЦСК Публічного акціонерного товариства "УкрСиббанк";csk.ukrsibbank.com
АЦСК ПАТ КБ "ПРИВАТБАНК";acsk.privatbank.ua
АЦСК Збройних Сил;ca.mil.gov.ua
АЦСК Державної прикордонної служби України;acsk.dpsu.gov.ua
АЦСК ринку електричної енергії;acsk.er.gov.ua
АЦСК МВС України;ca.mvs.gov.ua
АЦСК Національного банку України;canbu.bank.gov.ua
АЦСК ТОВ "Центр сертифікації ключів "Україна";uakey.com.ua
АЦСК Генеральної прокуратури України;ca.gp.gov.ua/cmp
